"Année"	"mgmt.unit"	"scen"	"Bois marchand"	"Bois autre"	"Feuillage"	"Racines grossières"	"Racines fines"	"Bois mort"	"très rapide"	"rapide"	"moyenne"	"lente aérien"	"Produits du bois"	"Atmosphère décomposition"	"Atmosphère perturbation"	"lente souterrain"	"PPN"	"PEN"	"PBN"
2020	"11161"	"SSP2-4.5 - reboisement"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"SSP2-4.5 - recup70%"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"SSP2-4.5 - reference"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"SSP2-4.5 - reserve"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"SSP2-4.5 - sans coupe"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"SSP2-4.5 - sans feu"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"SSP2-4.5 - sans pert"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"SSP3-7.0 - reboisement"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"SSP3-7.0 - recup70%"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"SSP3-7.0 - reference"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"SSP3-7.0 - reserve"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"SSP3-7.0 - sans coupe"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"SSP3-7.0 - sans feu"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"SSP3-7.0 - sans pert"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"climat stable - reboisement"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"climat stable - recup70%"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"climat stable - reference"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"climat stable - reserve"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
2020	"11161"	"climat stable - sans coupe"	34.937	16.213	3.689	12.19	1.847	5.257	8.898	9.532	6.949	36.067	0	0	0	100.697	0	0	0
