"mgmt.unit"	"Année"	"scen"	"age.class"	"area"	"Proportion"
"11161"	2020	"SSP2-4.5 - reboisement"	"C10"	920	0.136
"11161"	2020	"SSP2-4.5 - reboisement"	"C30"	2032	0.3
"11161"	2020	"SSP2-4.5 - reboisement"	"C50"	1240	0.183
"11161"	2020	"SSP2-4.5 - reboisement"	"C70"	476	0.07
"11161"	2020	"SSP2-4.5 - reboisement"	"C90"	592	0.087
"11161"	2020	"SSP2-4.5 - reboisement"	"OLD"	1512	0.223
"11161"	2020	"SSP2-4.5 - recup70%"	"C10"	920	0.136
"11161"	2020	"SSP2-4.5 - recup70%"	"C30"	2032	0.3
"11161"	2020	"SSP2-4.5 - recup70%"	"C50"	1240	0.183
"11161"	2020	"SSP2-4.5 - recup70%"	"C70"	476	0.07
"11161"	2020	"SSP2-4.5 - recup70%"	"C90"	592	0.087
"11161"	2020	"SSP2-4.5 - recup70%"	"OLD"	1512	0.223
"11161"	2020	"SSP2-4.5 - reference"	"C10"	920	0.136
"11161"	2020	"SSP2-4.5 - reference"	"C30"	2032	0.3
"11161"	2020	"SSP2-4.5 - reference"	"C50"	1240	0.183
"11161"	2020	"SSP2-4.5 - reference"	"C70"	476	0.07
"11161"	2020	"SSP2-4.5 - reference"	"C90"	592	0.087
"11161"	2020	"SSP2-4.5 - reference"	"OLD"	1512	0.223
"11161"	2020	"SSP2-4.5 - reserve"	"C10"	920	0.136
"11161"	2020	"SSP2-4.5 - reserve"	"C30"	2032	0.3
"11161"	2020	"SSP2-4.5 - reserve"	"C50"	1240	0.183
"11161"	2020	"SSP2-4.5 - reserve"	"C70"	476	0.07
"11161"	2020	"SSP2-4.5 - reserve"	"C90"	592	0.087
"11161"	2020	"SSP2-4.5 - reserve"	"OLD"	1512	0.223
"11161"	2020	"SSP2-4.5 - sans coupe"	"C10"	920	0.136
"11161"	2020	"SSP2-4.5 - sans coupe"	"C30"	2032	0.3
"11161"	2020	"SSP2-4.5 - sans coupe"	"C50"	1240	0.183
"11161"	2020	"SSP2-4.5 - sans coupe"	"C70"	476	0.07
"11161"	2020	"SSP2-4.5 - sans coupe"	"C90"	592	0.087
"11161"	2020	"SSP2-4.5 - sans coupe"	"OLD"	1512	0.223
"11161"	2020	"SSP2-4.5 - sans feu"	"C10"	920	0.136
"11161"	2020	"SSP2-4.5 - sans feu"	"C30"	2032	0.3
"11161"	2020	"SSP2-4.5 - sans feu"	"C50"	1240	0.183
"11161"	2020	"SSP2-4.5 - sans feu"	"C70"	476	0.07
"11161"	2020	"SSP2-4.5 - sans feu"	"C90"	592	0.087
"11161"	2020	"SSP2-4.5 - sans feu"	"OLD"	1512	0.223
"11161"	2020	"SSP2-4.5 - sans pert"	"C10"	920	0.136
"11161"	2020	"SSP2-4.5 - sans pert"	"C30"	2032	0.3
"11161"	2020	"SSP2-4.5 - sans pert"	"C50"	1240	0.183
"11161"	2020	"SSP2-4.5 - sans pert"	"C70"	476	0.07
"11161"	2020	"SSP2-4.5 - sans pert"	"C90"	592	0.087
"11161"	2020	"SSP2-4.5 - sans pert"	"OLD"	1512	0.223
"11161"	2020	"SSP3-7.0 - reboisement"	"C10"	920	0.136
"11161"	2020	"SSP3-7.0 - reboisement"	"C30"	2032	0.3
"11161"	2020	"SSP3-7.0 - reboisement"	"C50"	1240	0.183
"11161"	2020	"SSP3-7.0 - reboisement"	"C70"	476	0.07
"11161"	2020	"SSP3-7.0 - reboisement"	"C90"	592	0.087
"11161"	2020	"SSP3-7.0 - reboisement"	"OLD"	1512	0.223
"11161"	2020	"SSP3-7.0 - recup70%"	"C10"	920	0.136
"11161"	2020	"SSP3-7.0 - recup70%"	"C30"	2032	0.3
"11161"	2020	"SSP3-7.0 - recup70%"	"C50"	1240	0.183
"11161"	2020	"SSP3-7.0 - recup70%"	"C70"	476	0.07
"11161"	2020	"SSP3-7.0 - recup70%"	"C90"	592	0.087
"11161"	2020	"SSP3-7.0 - recup70%"	"OLD"	1512	0.223
"11161"	2020	"SSP3-7.0 - reference"	"C10"	920	0.136
"11161"	2020	"SSP3-7.0 - reference"	"C30"	2032	0.3
"11161"	2020	"SSP3-7.0 - reference"	"C50"	1240	0.183
"11161"	2020	"SSP3-7.0 - reference"	"C70"	476	0.07
"11161"	2020	"SSP3-7.0 - reference"	"C90"	592	0.087
"11161"	2020	"SSP3-7.0 - reference"	"OLD"	1512	0.223
"11161"	2020	"SSP3-7.0 - reserve"	"C10"	920	0.136
"11161"	2020	"SSP3-7.0 - reserve"	"C30"	2032	0.3
"11161"	2020	"SSP3-7.0 - reserve"	"C50"	1240	0.183
"11161"	2020	"SSP3-7.0 - reserve"	"C70"	476	0.07
"11161"	2020	"SSP3-7.0 - reserve"	"C90"	592	0.087
"11161"	2020	"SSP3-7.0 - reserve"	"OLD"	1512	0.223
"11161"	2020	"SSP3-7.0 - sans coupe"	"C10"	920	0.136
