"mgmt.unit"	"Année"	"scen"	"ssp"	"bonif"	"spp"	"area"	"Proportion"
"11161"	2020	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"reboisement"	"Feuillus tolérants"	520	0.077
"11161"	2020	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"reboisement"	"Résineux"	4320	0.638
"11161"	2020	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"reboisement"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"reboisement"	"Plantations résineuses"	1020	0.151
"11161"	2020	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"recup70%"	"Feuillus tolérants"	520	0.077
"11161"	2020	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"recup70%"	"Résineux"	4320	0.638
"11161"	2020	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"recup70%"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"recup70%"	"Plantations résineuses"	1020	0.151
"11161"	2020	"SSP2-4.5 - reference"	"SSP2-4.5"	"reference"	"Feuillus tolérants"	520	0.077
"11161"	2020	"SSP2-4.5 - reference"	"SSP2-4.5"	"reference"	"Résineux"	4320	0.638
"11161"	2020	"SSP2-4.5 - reference"	"SSP2-4.5"	"reference"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP2-4.5 - reference"	"SSP2-4.5"	"reference"	"Plantations résineuses"	1020	0.151
"11161"	2020	"SSP2-4.5 - reserve"	"SSP2-4.5"	"reserve"	"Feuillus tolérants"	520	0.077
"11161"	2020	"SSP2-4.5 - reserve"	"SSP2-4.5"	"reserve"	"Résineux"	4320	0.638
"11161"	2020	"SSP2-4.5 - reserve"	"SSP2-4.5"	"reserve"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP2-4.5 - reserve"	"SSP2-4.5"	"reserve"	"Plantations résineuses"	1020	0.151
"11161"	2020	"SSP2-4.5 - sans coupe"	"SSP2-4.5"	"sans coupe"	"Feuillus tolérants"	520	0.077
"11161"	2020	"SSP2-4.5 - sans coupe"	"SSP2-4.5"	"sans coupe"	"Résineux"	4320	0.638
"11161"	2020	"SSP2-4.5 - sans coupe"	"SSP2-4.5"	"sans coupe"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP2-4.5 - sans coupe"	"SSP2-4.5"	"sans coupe"	"Plantations résineuses"	1020	0.151
"11161"	2020	"SSP2-4.5 - sans feu"	"SSP2-4.5"	"sans feu"	"Feuillus tolérants"	520	0.077
"11161"	2020	"SSP2-4.5 - sans feu"	"SSP2-4.5"	"sans feu"	"Résineux"	4320	0.638
"11161"	2020	"SSP2-4.5 - sans feu"	"SSP2-4.5"	"sans feu"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP2-4.5 - sans feu"	"SSP2-4.5"	"sans feu"	"Plantations résineuses"	1020	0.151
"11161"	2020	"SSP2-4.5 - sans pert"	"SSP2-4.5"	"sans pert"	"Feuillus tolérants"	520	0.077
"11161"	2020	"SSP2-4.5 - sans pert"	"SSP2-4.5"	"sans pert"	"Résineux"	4320	0.638
"11161"	2020	"SSP2-4.5 - sans pert"	"SSP2-4.5"	"sans pert"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP2-4.5 - sans pert"	"SSP2-4.5"	"sans pert"	"Plantations résineuses"	1020	0.151
"11161"	2020	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"reboisement"	"Feuillus tolérants"	520	0.077
"11161"	2020	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"reboisement"	"Résineux"	4320	0.638
"11161"	2020	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"reboisement"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"reboisement"	"Plantations résineuses"	1020	0.151
"11161"	2020	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"recup70%"	"Feuillus tolérants"	520	0.077
"11161"	2020	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"recup70%"	"Résineux"	4320	0.638
"11161"	2020	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"recup70%"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"recup70%"	"Plantations résineuses"	1020	0.151
"11161"	2020	"SSP3-7.0 - reference"	"SSP3-7.0"	"reference"	"Feuillus tolérants"	520	0.077
"11161"	2020	"SSP3-7.0 - reference"	"SSP3-7.0"	"reference"	"Résineux"	4320	0.638
"11161"	2020	"SSP3-7.0 - reference"	"SSP3-7.0"	"reference"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP3-7.0 - reference"	"SSP3-7.0"	"reference"	"Plantations résineuses"	1020	0.151
"11161"	2020	"SSP3-7.0 - reserve"	"SSP3-7.0"	"reserve"	"Feuillus tolérants"	520	0.077
"11161"	2020	"SSP3-7.0 - reserve"	"SSP3-7.0"	"reserve"	"Résineux"	4320	0.638
"11161"	2020	"SSP3-7.0 - reserve"	"SSP3-7.0"	"reserve"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP3-7.0 - reserve"	"SSP3-7.0"	"reserve"	"Plantations résineuses"	1020	0.151
"11161"	2020	"SSP3-7.0 - sans coupe"	"SSP3-7.0"	"sans coupe"	"Feuillus tolérants"	520	0.077
"11161"	2020	"SSP3-7.0 - sans coupe"	"SSP3-7.0"	"sans coupe"	"Résineux"	4320	0.638
"11161"	2020	"SSP3-7.0 - sans coupe"	"SSP3-7.0"	"sans coupe"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP3-7.0 - sans coupe"	"SSP3-7.0"	"sans coupe"	"Plantations résineuses"	1020	0.151
"11161"	2020	"SSP3-7.0 - sans feu"	"SSP3-7.0"	"sans feu"	"Feuillus tolérants"	520	0.077
"11161"	2020	"SSP3-7.0 - sans feu"	"SSP3-7.0"	"sans feu"	"Résineux"	4320	0.638
"11161"	2020	"SSP3-7.0 - sans feu"	"SSP3-7.0"	"sans feu"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP3-7.0 - sans feu"	"SSP3-7.0"	"sans feu"	"Plantations résineuses"	1020	0.151
"11161"	2020	"SSP3-7.0 - sans pert"	"SSP3-7.0"	"sans pert"	"Feuillus tolérants"	520	0.077
"11161"	2020	"SSP3-7.0 - sans pert"	"SSP3-7.0"	"sans pert"	"Résineux"	4320	0.638
"11161"	2020	"SSP3-7.0 - sans pert"	"SSP3-7.0"	"sans pert"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP3-7.0 - sans pert"	"SSP3-7.0"	"sans pert"	"Plantations résineuses"	1020	0.151
"11161"	2020	"climat stable - reboisement"	"climat stable"	"reboisement"	"Feuillus tolérants"	520	0.077
"11161"	2020	"climat stable - reboisement"	"climat stable"	"reboisement"	"Résineux"	4320	0.638
"11161"	2020	"climat stable - reboisement"	"climat stable"	"reboisement"	"Feuillus intolérants"	912	0.135
