"mgmt.unit"	"Année"	"scen"	"Historique"	"brfuel"	"Climat"	"Climat&Végétation"
"11161"	2025	"SSP2-4.5 - reboisement"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"SSP2-4.5 - recup70%"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"SSP2-4.5 - reference"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"SSP2-4.5 - reserve"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"SSP2-4.5 - sans coupe"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"SSP2-4.5 - sans feu"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"SSP2-4.5 - sans pert"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"SSP3-7.0 - reboisement"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"SSP3-7.0 - recup70%"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"SSP3-7.0 - reference"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"SSP3-7.0 - reserve"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"SSP3-7.0 - sans coupe"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"SSP3-7.0 - sans feu"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"SSP3-7.0 - sans pert"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"climat stable - reboisement"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"climat stable - recup70%"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"climat stable - reference"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"climat stable - reserve"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"climat stable - sans coupe"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"climat stable - sans feu"	0.00742	0.00742	0.00742	0.00742
"11161"	2025	"climat stable - sans pert"	0.00742	0.00742	0.00742	0.00742
"11161"	2030	"SSP2-4.5 - reboisement"	0.00742	0.00742	0.00742	0.00742
"11161"	2030	"SSP2-4.5 - recup70%"	0.00742	0.00742	0.00742	0.00742
"11161"	2030	"SSP2-4.5 - reference"	0.00742	0.00742	0.00742	0.00742
"11161"	2030	"SSP2-4.5 - reserve"	0.00742	0.00742	0.00742	0.00742
"11161"	2030	"SSP2-4.5 - sans coupe"	0.00742	0.00764	0.00742	0.00764
"11161"	2030	"SSP2-4.5 - sans feu"	0.00742	0.00742	0.00742	0.00742
"11161"	2030	"SSP2-4.5 - sans pert"	0.00742	0.00765	0.00742	0.00765
"11161"	2030	"SSP3-7.0 - reboisement"	0.00742	0.00742	0.00742	0.00742
"11161"	2030	"SSP3-7.0 - recup70%"	0.00742	0.00742	0.00742	0.00742
"11161"	2030	"SSP3-7.0 - reference"	0.00742	0.00742	0.00742	0.00742
"11161"	2030	"SSP3-7.0 - reserve"	0.00742	0.00742	0.00742	0.00742
"11161"	2030	"SSP3-7.0 - sans coupe"	0.00742	0.00766	0.00742	0.00766
"11161"	2030	"SSP3-7.0 - sans feu"	0.00742	0.00742	0.00742	0.00742
"11161"	2030	"SSP3-7.0 - sans pert"	0.00742	0.00765	0.00742	0.00765
"11161"	2030	"climat stable - reboisement"	0.00742	0.00742	0.00742	0.00742
"11161"	2030	"climat stable - recup70%"	0.00742	0.00742	0.00742	0.00742
"11161"	2030	"climat stable - reference"	0.00742	0.00742	0.00742	0.00742
"11161"	2030	"climat stable - reserve"	0.00742	0.00742	0.00742	0.00742
"11161"	2030	"climat stable - sans coupe"	0.00742	0.00766	0.00742	0.00766
"11161"	2030	"climat stable - sans feu"	0.00742	0.00742	0.00742	0.00742
"11161"	2030	"climat stable - sans pert"	0.00742	0.00766	0.00742	0.00766
"11161"	2035	"SSP2-4.5 - reboisement"	0.00742	0.00771	0.00742	0.00771
"11161"	2035	"SSP2-4.5 - recup70%"	0.00742	0.00771	0.00742	0.00771
"11161"	2035	"SSP2-4.5 - reference"	0.00742	0.00775	0.00742	0.00775
"11161"	2035	"SSP2-4.5 - reserve"	0.00742	0.00773	0.00742	0.00773
"11161"	2035	"SSP2-4.5 - sans coupe"	0.00742	0.00812	0.00742	0.00812
"11161"	2035	"SSP2-4.5 - sans feu"	0.00742	0.00779	0.00742	0.00779
"11161"	2035	"SSP2-4.5 - sans pert"	0.00742	0.00816	0.00742	0.00816
"11161"	2035	"SSP3-7.0 - reboisement"	0.00742	0.00774	0.00742	0.00774
"11161"	2035	"SSP3-7.0 - recup70%"	0.00742	0.00772	0.00742	0.00772
