"mgmt.unit"	"Année"	"scen"	"Superficie"	"med_area"
"11161"	2025	"SSP2-4.5 - reboisement"	0	NA
"11161"	2030	"SSP2-4.5 - reboisement"	108.8	52.8
"11161"	2035	"SSP2-4.5 - reboisement"	12	52.8
"11161"	2040	"SSP2-4.5 - reboisement"	43.2	52.8
"11161"	2045	"SSP2-4.5 - reboisement"	96.8	52.8
"11161"	2050	"SSP2-4.5 - reboisement"	83.2	52.8
"11161"	2055	"SSP2-4.5 - reboisement"	48.4	52.8
"11161"	2060	"SSP2-4.5 - reboisement"	64	52.8
"11161"	2065	"SSP2-4.5 - reboisement"	51.6	52.8
"11161"	2070	"SSP2-4.5 - reboisement"	52.8	52.8
"11161"	2075	"SSP2-4.5 - reboisement"	29.6	52.8
"11161"	2080	"SSP2-4.5 - reboisement"	42.4	52.8
"11161"	2085	"SSP2-4.5 - reboisement"	36	52.8
"11161"	2090	"SSP2-4.5 - reboisement"	157.6	52.8
"11161"	2095	"SSP2-4.5 - reboisement"	58.8	52.8
"11161"	2100	"SSP2-4.5 - reboisement"	100	52.8
"11161"	2025	"SSP2-4.5 - recup70%"	0	NA
"11161"	2030	"SSP2-4.5 - recup70%"	101.2	68.4
"11161"	2035	"SSP2-4.5 - recup70%"	68.4	68.4
"11161"	2040	"SSP2-4.5 - recup70%"	82	68.4
"11161"	2045	"SSP2-4.5 - recup70%"	62.8	68.4
"11161"	2050	"SSP2-4.5 - recup70%"	22.4	68.4
"11161"	2055	"SSP2-4.5 - recup70%"	70.8	68.4
"11161"	2060	"SSP2-4.5 - recup70%"	12	68.4
"11161"	2065	"SSP2-4.5 - recup70%"	169.6	68.4
"11161"	2070	"SSP2-4.5 - recup70%"	60.8	68.4
"11161"	2075	"SSP2-4.5 - recup70%"	73.2	68.4
"11161"	2080	"SSP2-4.5 - recup70%"	78.8	68.4
"11161"	2085	"SSP2-4.5 - recup70%"	89.6	68.4
"11161"	2090	"SSP2-4.5 - recup70%"	48.8	68.4
"11161"	2095	"SSP2-4.5 - recup70%"	52	68.4
"11161"	2100	"SSP2-4.5 - recup70%"	19.6	68.4
"11161"	2025	"SSP2-4.5 - reference"	0	NA
"11161"	2030	"SSP2-4.5 - reference"	50.4	50.4
"11161"	2035	"SSP2-4.5 - reference"	144.4	50.4
"11161"	2040	"SSP2-4.5 - reference"	38.8	50.4
"11161"	2045	"SSP2-4.5 - reference"	66.8	50.4
"11161"	2050	"SSP2-4.5 - reference"	77.2	50.4
"11161"	2055	"SSP2-4.5 - reference"	26	50.4
"11161"	2060	"SSP2-4.5 - reference"	63.6	50.4
"11161"	2065	"SSP2-4.5 - reference"	70.4	50.4
"11161"	2070	"SSP2-4.5 - reference"	30	50.4
"11161"	2075	"SSP2-4.5 - reference"	48	50.4
"11161"	2080	"SSP2-4.5 - reference"	129.6	50.4
"11161"	2085	"SSP2-4.5 - reference"	19.2	50.4
"11161"	2090	"SSP2-4.5 - reference"	46.8	50.4
"11161"	2095	"SSP2-4.5 - reference"	37.2	50.4
"11161"	2100	"SSP2-4.5 - reference"	50.8	50.4
"11161"	2025	"SSP2-4.5 - reserve"	0	NA
"11161"	2030	"SSP2-4.5 - reserve"	59.6	69.2
"11161"	2035	"SSP2-4.5 - reserve"	33.6	69.2
"11161"	2040	"SSP2-4.5 - reserve"	24.8	69.2
"11161"	2045	"SSP2-4.5 - reserve"	84	69.2
"11161"	2050	"SSP2-4.5 - reserve"	76.4	69.2
"11161"	2055	"SSP2-4.5 - reserve"	69.2	69.2
"11161"	2060	"SSP2-4.5 - reserve"	106.8	69.2
"11161"	2065	"SSP2-4.5 - reserve"	74.4	69.2
"11161"	2070	"SSP2-4.5 - reserve"	46.4	69.2
"11161"	2075	"SSP2-4.5 - reserve"	81.6	69.2
"11161"	2080	"SSP2-4.5 - reserve"	113.2	69.2
"11161"	2085	"SSP2-4.5 - reserve"	30.4	69.2
"11161"	2090	"SSP2-4.5 - reserve"	56.8	69.2
"11161"	2095	"SSP2-4.5 - reserve"	103.2	69.2
"11161"	2100	"SSP2-4.5 - reserve"	60.4	69.2
"11161"	2025	"SSP2-4.5 - sans coupe"	0	NA
"11161"	2030	"SSP2-4.5 - sans coupe"	63.6	75.6
"11161"	2035	"SSP2-4.5 - sans coupe"	30.8	75.6
"11161"	2040	"SSP2-4.5 - sans coupe"	103.6	75.6
"11161"	2045	"SSP2-4.5 - sans coupe"	89.6	75.6
"11161"	2050	"SSP2-4.5 - sans coupe"	75.6	75.6
"11161"	2055	"SSP2-4.5 - sans coupe"	140.4	75.6
"11161"	2060	"SSP2-4.5 - sans coupe"	67.6	75.6
"11161"	2065	"SSP2-4.5 - sans coupe"	144.8	75.6
"11161"	2070	"SSP2-4.5 - sans coupe"	96.4	75.6
"11161"	2075	"SSP2-4.5 - sans coupe"	145.2	75.6
"11161"	2080	"SSP2-4.5 - sans coupe"	43.2	75.6
"11161"	2085	"SSP2-4.5 - sans coupe"	116.8	75.6
"11161"	2090	"SSP2-4.5 - sans coupe"	73.2	75.6
"11161"	2095	"SSP2-4.5 - sans coupe"	56.4	75.6
"11161"	2100	"SSP2-4.5 - sans coupe"	50.8	75.6
"11161"	2025	"SSP3-7.0 - reboisement"	0	NA
"11161"	2030	"SSP3-7.0 - reboisement"	56	76.8
"11161"	2035	"SSP3-7.0 - reboisement"	56.4	76.8
"11161"	2040	"SSP3-7.0 - reboisement"	6.8	76.8
"11161"	2045	"SSP3-7.0 - reboisement"	55.6	76.8
"11161"	2050	"SSP3-7.0 - reboisement"	80.4	76.8
"11161"	2055	"SSP3-7.0 - reboisement"	76.8	76.8
"11161"	2060	"SSP3-7.0 - reboisement"	69.6	76.8
"11161"	2065	"SSP3-7.0 - reboisement"	136.8	76.8
"11161"	2070	"SSP3-7.0 - reboisement"	116.4	76.8
"11161"	2075	"SSP3-7.0 - reboisement"	168	76.8
"11161"	2080	"SSP3-7.0 - reboisement"	100.4	76.8
"11161"	2085	"SSP3-7.0 - reboisement"	94.4	76.8
"11161"	2090	"SSP3-7.0 - reboisement"	57.6	76.8
"11161"	2095	"SSP3-7.0 - reboisement"	82	76.8
"11161"	2100	"SSP3-7.0 - reboisement"	68.4	76.8
"11161"	2025	"SSP3-7.0 - recup70%"	0	NA
"11161"	2030	"SSP3-7.0 - recup70%"	68.4	68.4
"11161"	2035	"SSP3-7.0 - recup70%"	47.6	68.4
"11161"	2040	"SSP3-7.0 - recup70%"	169.6	68.4
"11161"	2045	"SSP3-7.0 - recup70%"	66.8	68.4
"11161"	2050	"SSP3-7.0 - recup70%"	58.4	68.4
"11161"	2055	"SSP3-7.0 - recup70%"	147.2	68.4
"11161"	2060	"SSP3-7.0 - recup70%"	52.4	68.4
"11161"	2065	"SSP3-7.0 - recup70%"	71.2	68.4
"11161"	2070	"SSP3-7.0 - recup70%"	107.6	68.4
"11161"	2075	"SSP3-7.0 - recup70%"	191.2	68.4
"11161"	2080	"SSP3-7.0 - recup70%"	71.6	68.4
"11161"	2085	"SSP3-7.0 - recup70%"	60	68.4
"11161"	2090	"SSP3-7.0 - recup70%"	125.6	68.4
"11161"	2095	"SSP3-7.0 - recup70%"	62.8	68.4
"11161"	2100	"SSP3-7.0 - recup70%"	42.4	68.4
"11161"	2025	"SSP3-7.0 - reference"	0	NA
"11161"	2030	"SSP3-7.0 - reference"	72.4	66
"11161"	2035	"SSP3-7.0 - reference"	84	66
"11161"	2040	"SSP3-7.0 - reference"	96	66
"11161"	2045	"SSP3-7.0 - reference"	46.8	66
"11161"	2050	"SSP3-7.0 - reference"	35.6	66
"11161"	2055	"SSP3-7.0 - reference"	58.4	66
"11161"	2060	"SSP3-7.0 - reference"	41.2	66
"11161"	2065	"SSP3-7.0 - reference"	40.8	66
"11161"	2070	"SSP3-7.0 - reference"	68.8	66
"11161"	2075	"SSP3-7.0 - reference"	52.8	66
"11161"	2080	"SSP3-7.0 - reference"	66	66
"11161"	2085	"SSP3-7.0 - reference"	82.8	66
