"run"	"Année"	"baseline"	"scen"	"ssp"	"recup"	"Bonifié"	"mgmt.unit"	"Superficie"	"Volume"	"Area cut"	"Vol cut"	"min_area"	"min_vol"
1	2025	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	272	4771413	272	4771413	236	4351525
1	2025	"0"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	272	4817466	272	4817466	248	4323258
1	2025	"0"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	274	4787958	274	4787958	234	4352646
1	2030	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	268	4663443	268	4663443	236	4351525
1	2030	"0"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	273	4922079	273	4922079	248	4323258
1	2030	"0"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	272	4882074	272	4882074	234	4352646
1	2035	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	268	4985314	268	4985314	236	4351525
1	2035	"0"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	260	4735661	260	4735661	248	4323258
1	2035	"0"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	268	4930218	268	4930218	234	4352646
1	2040	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	268	4747686	268	4747686	236	4351525
1	2040	"0"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	256	4323258	256	4323258	248	4323258
1	2040	"0"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	278	4816871	278	4816871	234	4352646
1	2045	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	272	4852399	272	4852399	236	4351525
1	2045	"0"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	248	4345466	248	4345466	248	4323258
1	2045	"0"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	256	4352646	256	4352646	234	4352646
1	2050	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	286	5033681	286	5033681	236	4351525
1	2050	"0"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	272	4919860	272	4919860	248	4323258
1	2050	"0"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	278	4816187	278	4816187	234	4352646
1	2055	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	236	4351525	236	4351525	236	4351525
1	2055	"0"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	272	4833931	272	4833931	248	4323258
1	2055	"0"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	288	5189318	288	5189318	234	4352646
1	2060	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	280	5003394	280	5003394	236	4351525
1	2060	"0"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	264	4861628	264	4861628	248	4323258
1	2060	"0"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	288	5545871	288	5545871	234	4352646
1	2065	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	286	5470624	286	5470624	236	4351525
1	2065	"0"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	290	5398196	290	5398196	248	4323258
1	2065	"0"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	286	5269178	286	5269178	234	4352646
1	2070	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	288	5626349	288	5626349	236	4351525
1	2070	"0"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	290	5937892	290	5937892	248	4323258
1	2070	"0"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	280	5587542	280	5587542	234	4352646
1	2075	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	288	5729222	288	5729222	236	4351525
1	2075	"0"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	292	5911556	292	5911556	248	4323258
1	2075	"0"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	278	5721583	278	5721583	234	4352646
1	2080	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	286	6012818	286	6012818	236	4351525
1	2080	"0"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	296	6073573	296	6073573	248	4323258
1	2080	"0"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	272	5485200	272	5485200	234	4352646
1	2085	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	290	5855344	290	5855344	236	4351525
1	2085	"0"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	292	6062360	292	6062360	248	4323258
1	2085	"0"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	240	5211133	240	5211133	234	4352646
1	2090	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	294	5969452	294	5969452	236	4351525
