"mgmt.unit"	"scen"	"Année"	"spp"	"spp cut"	"spp cut vol"	"spp cut total"	"spp cut vol total"	"Prop_brut"	"Prop_brut_vol"	"Proportion"	"Proportion volume"
"11161"	"climat stable - reboisement"	2025	"Feuillus tolérants"	8	222066	269	4767749	0.03	0.047	0.0355	0.0545
"11161"	"climat stable - reboisement"	2025	"Résineux"	198	3361104	269	4767749	0.736	0.705	0.7435	0.7125
"11161"	"climat stable - reboisement"	2025	"Feuillus intolérants"	63	1175484	269	4767749	0.234	0.247	0.219	0.2305
"11161"	"climat stable - reboisement"	2025	"Plantations résineuses"	0	9095	269	4767749	0	0.002	0.002	0.003
"11161"	"climat stable - reboisement"	2030	"Feuillus tolérants"	11	297995	269	4802315	0.041	0.062	0.04	0.0603333333333333
"11161"	"climat stable - reboisement"	2030	"Résineux"	202	3457252	269	4802315	0.751	0.72	0.744	0.711
"11161"	"climat stable - reboisement"	2030	"Feuillus intolérants"	55	1027503	269	4802315	0.204	0.214	0.214666666666667	0.226666666666667
"11161"	"climat stable - reboisement"	2030	"Plantations résineuses"	1	19565	269	4802315	0.004	0.004	0.00133333333333333	0.00266666666666667
"11161"	"climat stable - reboisement"	2035	"Feuillus tolérants"	13	342071	267	4782305	0.049	0.072	0.0436666666666667	0.0663333333333333
"11161"	"climat stable - reboisement"	2035	"Résineux"	199	3384837	267	4782305	0.745	0.708	0.750333333333333	0.713666666666667
"11161"	"climat stable - reboisement"	2035	"Feuillus intolérants"	55	1045001	267	4782305	0.206	0.219	0.195	0.205666666666667
"11161"	"climat stable - reboisement"	2035	"Plantations résineuses"	0	10396	267	4782305	0	0.002	0.0113333333333333	0.0143333333333333
"11161"	"climat stable - reboisement"	2040	"Feuillus tolérants"	11	311492	269	4757724	0.041	0.065	0.0426666666666667	0.0656666666666667
"11161"	"climat stable - reboisement"	2040	"Résineux"	203	3394632	269	4757724	0.755	0.713	0.768333333333333	0.727333333333333
"11161"	"climat stable - reboisement"	2040	"Feuillus intolérants"	47	876504	269	4757724	0.175	0.184	0.161	0.169666666666667
"11161"	"climat stable - reboisement"	2040	"Plantations résineuses"	8	175096	269	4757724	0.03	0.037	0.0286666666666667	0.0373333333333333
"11161"	"climat stable - reboisement"	2045	"Feuillus tolérants"	10	283392	266	4692209	0.038	0.06	0.0353333333333333	0.0553333333333333
"11161"	"climat stable - reboisement"	2045	"Résineux"	214	3572564	266	4692209	0.805	0.761	0.767	0.723
"11161"	"climat stable - reboisement"	2045	"Feuillus intolérants"	27	495339	266	4692209	0.102	0.106	0.136666666666667	0.141666666666667
"11161"	"climat stable - reboisement"	2045	"Plantations résineuses"	15	340914	266	4692209	0.056	0.073	0.0616666666666667	0.0796666666666667
"11161"	"climat stable - reboisement"	2050	"Feuillus tolérants"	7	189806	263	4676014	0.027	0.041	0.0323333333333333	0.0506666666666667
"11161"	"climat stable - reboisement"	2050	"Résineux"	195	3250702	263	4676014	0.741	0.695	0.744	0.692333333333333
"11161"	"climat stable - reboisement"	2050	"Feuillus intolérants"	35	632989	263	4676014	0.133	0.135	0.108	0.109333333333333
"11161"	"climat stable - reboisement"	2050	"Plantations résineuses"	26	602517	263	4676014	0.099	0.129	0.116	0.147666666666667
"11161"	"climat stable - reboisement"	2055	"Feuillus tolérants"	9	257031	280	5081687	0.032	0.051	0.0256666666666667	0.0396666666666667
"11161"	"climat stable - reboisement"	2055	"Résineux"	192	3158002	280	5081687	0.686	0.621	0.677	0.614
"11161"	"climat stable - reboisement"	2055	"Feuillus intolérants"	25	442659	280	5081687	0.089	0.087	0.109333333333333	0.109
"11161"	"climat stable - reboisement"	2055	"Plantations résineuses"	54	1223995	280	5081687	0.193	0.241	0.188	0.237333333333333
"11161"	"climat stable - reboisement"	2060	"Feuillus tolérants"	5	140475	283	5292420	0.018	0.027	0.0236666666666667	0.0353333333333333
"11161"	"climat stable - reboisement"	2060	"Résineux"	171	2785834	283	5292420	0.604	0.526	0.631333333333333	0.558666666666667
"11161"	"climat stable - reboisement"	2060	"Feuillus intolérants"	30	554635	283	5292420	0.106	0.105	0.103666666666667	0.102333333333333
"11161"	"climat stable - reboisement"	2060	"Plantations résineuses"	77	1811476	283	5292420	0.272	0.342	0.241666666666667	0.303666666666667
"11161"	"climat stable - reboisement"	2065	"Feuillus tolérants"	6	148810	285	5332234	0.021	0.028	0.019	0.0266666666666667
"11161"	"climat stable - reboisement"	2065	"Résineux"	172	2822081	285	5332234	0.604	0.529	0.580666666666667	0.500666666666667
"11161"	"climat stable - reboisement"	2065	"Feuillus intolérants"	33	613938	285	5332234	0.116	0.115	0.110666666666667	0.109333333333333
"11161"	"climat stable - reboisement"	2065	"Plantations résineuses"	74	1747405	285	5332234	0.26	0.328	0.290333333333333	0.363333333333333
"11161"	"climat stable - reboisement"	2070	"Feuillus tolérants"	5	134744	283	5483325	0.018	0.025	0.0213333333333333	0.028
"11161"	"climat stable - reboisement"	2070	"Résineux"	151	2451732	283	5483325	0.534	0.447	0.532	0.45
"11161"	"climat stable - reboisement"	2070	"Feuillus intolérants"	31	593892	283	5483325	0.11	0.108	0.117333333333333	0.114666666666667
"11161"	"climat stable - reboisement"	2070	"Plantations résineuses"	96	2302957	283	5483325	0.339	0.42	0.329666666666667	0.407
"11161"	"climat stable - reboisement"	2075	"Feuillus tolérants"	7	176152	277	5636427	0.025	0.031	0.0276666666666667	0.034
"11161"	"climat stable - reboisement"	2075	"Résineux"	127	2109716	277	5636427	0.458	0.374	0.477666666666667	0.392333333333333
"11161"	"climat stable - reboisement"	2075	"Feuillus intolérants"	35	683597	277	5636427	0.126	0.121	0.120333333333333	0.115
"11161"	"climat stable - reboisement"	2075	"Plantations résineuses"	108	2666962	277	5636427	0.39	0.473	0.374	0.458333333333333
