"mgmt.unit"	"Année"	"scen"	"bonif"	"ssp"	"area.acc"	"area.CT"	"area.salv"	"area.total"	"area.acc.mean"	"area.CT.mean"	"area.salv.mean"	"area.total.mean"
"11161"	2025	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0	126.4	0	126.4	0	126.8	0.4	126.8
"11161"	2025	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0	44	0	44	0	44	0.6	44
"11161"	2025	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0	44	0	44	0	43.8	0	43.8
"11161"	2025	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	0	44	0	44	0	43.8	0.6	43.8
"11161"	2025	"SSP2-4.5 - sans feu"	"sans feu"	"SSP2-4.5"	0	44	0	44	0	44	0	44
"11161"	2025	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	0	127.6	0	127.6	0	127.6	0	127.6
"11161"	2025	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0	43.6	0	43.6	0	43.6	0.4	43.6
"11161"	2025	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0	44	0	44	0	44	0.2	44
"11161"	2025	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0	44	0	44	0.2	43.8	0.6	44
"11161"	2025	"SSP3-7.0 - sans feu"	"sans feu"	"SSP3-7.0"	0	44	0	44	0	44	0	44
"11161"	2025	"climat stable - reboisement"	"reboisement"	"climat stable"	0	127.2	0	127.2	0	126.8	0	126.8
"11161"	2025	"climat stable - recup70%"	"recup70%"	"climat stable"	0	43.2	0	43.2	0	44	0.8	44
"11161"	2025	"climat stable - reference"	"reference"	"climat stable"	0	43.6	0	43.6	0	43.4	0	43.4
"11161"	2025	"climat stable - reserve"	"reserve"	"climat stable"	0	44	0	44	0.2	43.6	0.4	43.8
"11161"	2025	"climat stable - sans feu"	"sans feu"	"climat stable"	0	43.6	0	43.6	0	43.8	0	43.8
"11161"	2030	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0	127.2	0.8	127.2	0	125.6	0.266666666666667	125.6
"11161"	2030	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0	44	1.2	44	0	43.7333333333333	0.533333333333333	43.7333333333333
"11161"	2030	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0	43.6	0	43.6	0	43.7333333333333	0.133333333333333	43.7333333333333
"11161"	2030	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	0	43.6	1.2	43.6	0	43.4666666666667	0.4	43.4666666666667
"11161"	2030	"SSP2-4.5 - sans feu"	"sans feu"	"SSP2-4.5"	0	44	0	44	0	44	0	44
"11161"	2030	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	0	127.6	0	127.6	0.266666666666667	126.266666666667	0.4	126.533333333333
"11161"	2030	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0	43.6	0.8	43.6	0.133333333333333	43.3333333333333	0.533333333333333	43.4666666666667
"11161"	2030	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0	44	0.4	44	0	43.4666666666667	0.133333333333333	43.4666666666667
"11161"	2030	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0.4	43.6	1.2	44	0.133333333333333	43.6	0.4	43.7333333333333
"11161"	2030	"SSP3-7.0 - sans feu"	"sans feu"	"SSP3-7.0"	0	44	0	44	0	43.8666666666667	0	43.8666666666667
"11161"	2030	"climat stable - reboisement"	"reboisement"	"climat stable"	0	126.4	0	126.4	0	126.4	0	126.4
"11161"	2030	"climat stable - recup70%"	"recup70%"	"climat stable"	0	44.8	1.6	44.8	0.133333333333333	43.7333333333333	0.933333333333333	43.8666666666667
