"mgmt.unit"	"Année"	"scen"	"bonif"	"ssp"	"area.per"	"area.total"
"11161"	2025	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0	0
"11161"	2025	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0	0
"11161"	2025	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0	0
"11161"	2025	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	0	0
"11161"	2025	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	0	0
"11161"	2025	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	0	0
"11161"	2025	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0	0
"11161"	2025	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0	0
"11161"	2025	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0	0
"11161"	2025	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	0	0
"11161"	2025	"climat stable - reboisement"	"reboisement"	"climat stable"	0	0
"11161"	2025	"climat stable - recup70%"	"recup70%"	"climat stable"	0	0
"11161"	2025	"climat stable - reference"	"reference"	"climat stable"	0	0
"11161"	2025	"climat stable - reserve"	"reserve"	"climat stable"	0	0
"11161"	2025	"climat stable - sans coupe"	"sans coupe"	"climat stable"	0	0
"11161"	2030	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	6	6
"11161"	2030	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	3.6	3.6
"11161"	2030	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	3.6	3.6
"11161"	2030	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	2.4	2.4
"11161"	2030	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	3.6	3.6
"11161"	2030	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	2	2
"11161"	2030	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	2	2
"11161"	2030	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	2.8	2.8
"11161"	2030	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	3.2	3.2
"11161"	2030	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	2.4	2.4
"11161"	2030	"climat stable - reboisement"	"reboisement"	"climat stable"	4.4	4.4
"11161"	2030	"climat stable - recup70%"	"recup70%"	"climat stable"	5.6	5.6
"11161"	2030	"climat stable - reference"	"reference"	"climat stable"	4	4
"11161"	2030	"climat stable - reserve"	"reserve"	"climat stable"	6.8	6.8
"11161"	2030	"climat stable - sans coupe"	"sans coupe"	"climat stable"	5.6	5.6
